Perfil,Área,ID,Funcionalidade,Pré-requisito,Passos,Resultado Esperado,Status,Observações
ADMIN,Auth,A-01,Login com credenciais válidas,Usuário admin existente,"1. Acessar /login 2. Inserir e-mail e senha 3. Clicar Entrar",Redireciona para /admin/pacientes,,
ADMIN,Auth,A-02,Logout,Estar logado como admin,"1. Clicar menu superior 2. Clicar Sair",Redireciona para /login sessão encerrada,,
ADMIN,Auth,A-03,Acesso bloqueado sem login,Nenhum,"1. Acessar /admin/pacientes sem login",Redireciona para /login,,
ADMIN,Pacientes,A-04,Listar pacientes,Login admin,"1. Acessar /admin/pacientes",Lista com nome status código interno aparece,,
ADMIN,Pacientes,A-05,Buscar paciente por nome,Lista com pacientes,"1. Digitar nome no campo de busca",Filtra lista em tempo real,,
ADMIN,Pacientes,A-06,Criar paciente (mínimo),Login admin,"1. Clicar Novo Paciente 2. Preencher Nome 3. Salvar",Paciente criado redireciona para perfil,,
ADMIN,Pacientes,A-07,Criar paciente (completo),Login admin,"1. Preencher Nome data_nasc sexo CPF frequência turno convênio horários terapeutas responsável 2. Salvar",Todos dados salvos corretamente,,
ADMIN,Pacientes,A-08,CPF criptografado no banco,A-07 com CPF,"1. Após criar paciente com CPF 2. Verificar no Supabase que cpf_cifrado está preenchido e cpf (plaintext) NÃO existe",Coluna cpf inexistente cpf_cifrado com valor bytes,,
ADMIN,Pacientes,A-09,Ver perfil do paciente,A-06,"1. Clicar no paciente na lista",Exibe dados pessoais terapeutas responsáveis,,
ADMIN,Pacientes,A-10,Aba Dados Clínicos (leitura admin),A-09,"1. Clicar aba Dados Clínicos",Exibe campos clínicos (ou vazio se não preenchido),,
ADMIN,Pacientes,A-11,Aba Relatórios (leitura admin),A-09,"1. Clicar aba Relatórios",Lista relatórios publicados,,
ADMIN,Pacientes,A-12,Aba Documentos (leitura admin),A-09,"1. Clicar aba Documentos",Lista documentos do paciente,,
ADMIN,Pacientes,A-13,Aba Orientações (leitura admin),A-09,"1. Clicar aba Orientações",Lista orientações do paciente,,
ADMIN,Pacientes,A-14,Aba Altas (leitura admin),A-09,"1. Clicar aba Altas",Lista histórico de solicitações de alta,,
ADMIN,Pacientes,A-15,Editar paciente,A-09,"1. Clicar Editar 2. Alterar campos 3. Salvar",Dados atualizados refletem na tela,,
ADMIN,Pacientes,A-16,Editar CPF (via editar paciente),A-09,"1. Entrar em Editar 2. Modificar CPF 3. Salvar",Campo CPF pré-populado decifrado e salvo criptografado,,
ADMIN,Pacientes,A-17,Desativar paciente,A-09 paciente ativo,"1. Clicar Desativar 2. Informar motivo 3. Confirmar",Status muda para Desativado,,
ADMIN,Pacientes,A-18,Reativar paciente,A-17,"1. Clicar Reativar",Status volta para Ativo,,
ADMIN,Pacientes,A-19,Deletar paciente,A-09,"1. Clicar Deletar 2. Confirmar",Paciente removido da lista e do banco,,
ADMIN,Pacientes,A-20,Bloquear edição de prontuário após alta,Paciente com status=alta,"1. Tentar editar dados clínicos/relatórios",Formulário bloqueado ou erro 409 da API,,
ADMIN,Usuários,A-21,Listar usuários,Login admin,"1. Acessar /admin/usuarios",Lista com nome role status aparece,,
ADMIN,Usuários,A-22,Criar usuário Admin,Login admin,"1. Clicar Novo Usuário 2. Preencher nome e-mail senha role=admin 3. Salvar",Usuário criado aparece na lista,,
ADMIN,Usuários,A-23,Criar usuário Recepção,Login admin,"1. Criar com role=recepcao",Usuário criado com role recepcao,,
ADMIN,Usuários,A-24,Criar usuário Terapeuta,Login admin,"1. Criar com role=terapeuta 2. Preencher CREFITO",CREFITO obrigatório para terapeuta validado,,
ADMIN,Usuários,A-25,Criar usuário Responsável (Pai),Login admin,"1. Criar com role=pai 2. Vincular a paciente existente",Usuário criado e vinculado ao paciente,,
ADMIN,Usuários,A-26,Desativar usuário,A-21,"1. Clicar no toggle Ativo do usuário",Usuário desativado não consegue mais logar,,
ADMIN,Usuários,A-27,Deletar usuário,A-21,"1. Clicar Deletar usuário 2. Confirmar",Usuário removido da lista,,
ADMIN,Usuários,A-28,Alterar permissões de usuário,A-21,"1. Acessar permissões do usuário 2. Alterar role 3. Salvar",Role atualizada reflete no acesso,,
ADMIN,Terapeutas,A-29,Listar terapeutas,Login admin,"1. Acessar /admin/terapeutas",Lista com nome CREFITO pacientes vinculados,,
ADMIN,Terapeutas,A-30,Ver perfil terapeuta,A-29,"1. Clicar no terapeuta",Exibe dados e lista de pacientes,,
ADMIN,Responsáveis,A-31,Listar responsáveis,Login admin,"1. Acessar /admin/responsaveis",Lista responsáveis com pacientes vinculados,,
ADMIN,Responsáveis,A-32,Ver perfil responsável,A-31,"1. Clicar no responsável",Exibe nome endereço telefone pacientes,,
